s,p,d,c,o,id,n,Long,Lat
unknown,16,1604,181,WROC,150180340,KLUCZBORK,18.240000000000002,50.969166666666666
unknown,02,0225,174,WROC,150140140,KOPACZÓW,14.82861111111111,50.87222222222222
unknown,02,0208,12,WROC,150160380,KROSNOWICE,16.628611111111113,50.38361111111111
unknown,10,1014,183,POZN,151180200,KUŚNIE,18.680833333333336,51.535
unknown,10,1002,272,SOWR,152199997,KUTNO,19.35027777777778,52.2325
unknown,26,2604,2164,KRAK,150200210,LESZCZYNY,20.764722222222222,50.87777777777778
unknown,22,2208,476,GDYN,154170330,ŁEBSKO,17.53666666666667,54.753055555555555
no-char-states,24,2417,2132,KRAK,149190140,ŁĘKAWICA,19.26222222222222,49.711666666666666
unknown,16,1607,12,WROC,150170320,MALERZOWICE WIELKIE,17.474444444444444,50.58444444444444
unknown,18,1814,226,KRAK,149229999,MANASTERZ,22.337777777777777,49.927499999999995
unknown,24,2409,181,POZN,150190460,MASŁOŃSKIE,19.253333333333334,50.649166666666666
unknown,18,1807,226,KRAK,149210470,MIEJSCE PIASTOWE,21.780555555555555,49.63111111111111
unknown,02,0207,16,WROC,150159997,MISZKOWICE,15.928888888888888,50.714444444444446
unknown,32,3205,42,GDYN,153150190,MOŁSTOWO,15.36361111111111,53.98722222222222
unknown,32,3214,197432,POZN,153140200,MORZYCZYN,14.91638888888889,53.35138888888889
unknown,32,3205,,GDYN,154150080,MRZEŻYNO,15.286111111111111,54.141666666666666
no-char-states,24,2475,212,KRAK,150190100,NIWKA,19.160833333333333,50.23583333333333
unknown,24,2409,181,POZN,150190450,NOWA KUŹNICA,19.21611111111111,50.620555555555555
unknown,22,2210,49,GDYN,154190180,NOWY ŚWIAT - UJŚCIE,19.311111111111114,54.36388888888889
unknown,22,2210,51,GDYN,154190200,NOWY ŚWIAT - ZALEW,19.31277777777778,54.35055555555556
unknown,18,1817,226,KRAK,149210460,ODRZECHOWA,21.95138888888889,49.545833333333334
unknown,28,2809,56,GDYN,154209999,OLKOWO,20.038333333333334,54.10583333333334
unknown,08,0811,174,WROC,151140180,OLSZYNA,14.753055555555555,51.66611111111111
unknown,02,0207,16,WROC,150150230,OPAWA,15.925555555555555,50.70138888888889
unknown,16,1607,12,WROC,150170330,PACZKÓW,17.016111111111112,50.46888888888889
unknown,12,1207,2149,KRAK,149209990,PIEKIEŁKO,20.34583333333333,49.74944444444444
unknown,12,1219,2138,KRAK,149200520,PIERZCHÓW,20.279999999999998,49.93416666666666
no-char-states,14,1462,275,SOWR,152199995,PŁOCK,19.67388888888889,52.53861111111111
unknown,14,1424,265,SOWR,152210180,PUŁTUSK,21.093333333333334,52.70277777777778
unknown,30,3006,185,POZN,152179994,RASZEWY,17.616388888888892,52.09
unknown,22,2215,47,GDYN,154180290,REDA-CEDRON,18.269166666666667,54.609722222222224
unknown,02,0208,12,WROC,150160390,ROZTOKI BYSTRZYCKIE,16.672222222222224,50.19083333333333
unknown,24,2405,116,WROC,150180320,RUDZINIEC,18.40583333333333,50.37861111111111
unknown,24,2412,115,WROC,150180330,RYBNIK-PARUSZOWIEC,18.557222222222222,50.11
unknown,12,1218,2134,KRAK,149190500,RZYKI,19.37666666666667,49.82361111111111
unknown,08,0811,174,WROC,151140200,SANICE,14.9675,51.41722222222222
unknown,02,0208,12,WROC,150160340,SARNY,16.465833333333332,50.547777777777775
unknown,02,0207,16,WROC,150169999,SĘDZISŁAW,16.04527777777778,50.81944444444445
unknown,22,2213,298,GDYN,154180300,SKARSZEWY,18.429166666666667,54.056666666666665
unknown,12,1209,2138,KRAK,149200530,SKRZYNKA,20.13277777777778,49.874722222222225
unknown,24,2401,212,KRAK,150190250,SŁAWKÓW,19.398888888888887,50.29972222222222
unknown,32,3213,46,GDYN,154169997,SŁAWNO,16.688333333333333,54.365833333333335
unknown,24,2404,181,POZN,150190440,SŁOWIK,19.183888888888887,50.748333333333335
unknown,10,1014,183,POZN,151180210,SMARDZEW,18.655555555555555,51.596944444444446
unknown,28,2808,5848,SOWR,154210110,SMOKOWO,21.32361111111111,54.066111111111105
unknown,14,1420,268,SOWR,152209996,SOCHOCIN,20.469166666666666,52.68527777777778
unknown,02,0208,12,WROC,150160360,STARKÓW,16.58,50.3775
unknown,16,1605,117,WROC,150170360,STEBLÓW,17.940555555555555,50.45166666666667
unknown,02,0208,12,WROC,150160350,SZALEJÓW GÓRNY,16.537222222222223,50.41833333333333
unknown,02,0208,12,WROC,150160330,SZCZYTNA,16.443055555555556,50.41555555555556
unknown,02,0208,12,WROC,150160370,TOPOLICE,16.609166666666667,50.36694444444444
unknown,24,2477,211,KRAK,150180300,TYCHY,18.977777777777778,50.086666666666666
unknown,02,0204,14,WROC,151160300,WĄSOSZ,16.68861111111111,51.55833333333333
unknown,18,1817,226,KRAK,149210480,WISŁOK WIELKI,21.979444444444443,49.400555555555556
unknown,18,1806,219,KRAK,150210410,WOLA RANIŻOWSKA,21.98777777777778,50.29416666666666
unknown,30,3010,1881,POZN,152180180,ZABOROWO,18.411666666666665,52.419444444444444
unknown,14,1434,267148,SOWR,152210110,ZAWISZYN,21.65611111111111,52.486666666666665
unknown,06,0606,24,KRAK,150230090,ZAŻÓŁKIEW,23.133333333333333,50.971111111111114
unknown,06,0663,246,KRAK,151220150,ZEMBORZYCE,22.491944444444446,51.15555555555555
unknown,12,1215,2134,KRAK,149190480,ZEMBRZYCE,19.616666666666667,49.77222222222222
unknown,32,3213,46,GDYN,154160160,ZIELNOWO,16.475555555555555,54.44194444444444
unknown,14,1434,267,SOWR,152219996,ZIELONKA,21.140277777777776,52.312777777777775
unknown,02,0220,14,WROC,151160290,ŻMIGRÓD,16.89638888888889,51.480555555555554
below,16,1607,117,WROC,150170080,JARNOŁTÓWEK,17.428055555555556,50.28583333333333
below,02,0224,12,WROC,150160270,KAMIENIEC ZĄBKOWICKI,16.865000000000002,50.532222222222224
below,12,1206,213,KRAK,150190330,OJCÓW,19.8325,50.19472222222222
low,06,0607,23,KRAK,150210180,ANNOPOL,21.83222222222222,50.899166666666666
low,20,2002,261,SOWR,153220270,BABINO,22.9425,53.15416666666667
low,12,1206,213,KRAK,150190310,BALICE,19.80666666666667,50.09305555555556
low,02,0224,12,WROC,150160220,BARDO,16.739722222222223,50.504444444444445
low,32,3208,44,GDYN,154150040,BARDY,15.713888888888889,54.09166666666667
low,08,0805,17,WROC,152140090,BIAŁA GÓRA,14.727222222222222,52.093333333333334
low,32,3201,44,GDYN,154160020,BIAŁOGÓRZYNO,16.116666666666667,54.0625
low,30,3019,1885,POZN,153170010,BIAŁOŚLIWIE,17.12472222222222,53.07361111111111
low,24,2414,211,KRAK,150190140,BIERUŃ NOWY,19.19361111111111,50.06472222222222
low,06,0602,228,KRAK,150220110,BIŁGORAJ,22.71527777777778,50.54222222222222
low,12,1214,213,KRAK,150200070,BISKUPICE,20.499166666666667,50.177499999999995
low,02,0223,134,WROC,151160180,BOGDASZOWICE,16.7925,51.086666666666666
low,24,2411,115,WROC,150180040,BOJANÓW,18.154166666666665,50.03055555555555
low,20,2002,261,SOWR,152230110,BONDARY,23.74888888888889,52.94027777777777
low,22,2205,48,GDYN,154170190,BORUCINO,17.99138888888889,54.25333333333333
low,22,2205,48,GDYN,154170240,BORUCINO ,17.979999999999997,54.25555555555555
lowOutdated,12,1202,213,KRAK,150200140,BORZĘCIN,20.705555555555556,50.065
low,20,2003,267146,SOWR,152220070,BRAŃSK,22.81861111111111,52.74388888888889
low,26,2611,234,KRAK,151210040,BRODY IŁŻECKIE,21.202777777777776,51.021388888888886
low,26,2602,216,KRAK,150200030,BRZEGI,20.413888888888888,50.74194444444444
low,18,1803,218,KRAK,150210140,BRZEŹNICA,21.486944444444447,50.10638888888889
low,10,1014,181,POZN,151180120,BURZENIN,18.837777777777777,51.458333333333336
low,26,2610,234,KRAK,151200100,BZIN,20.855555555555558,51.103611111111114
low,24,2411,113,WROC,149180020,CHAŁUPKI,18.32777777777778,49.92194444444444
low,18,1804,225,KRAK,150220140,CHARYTANY,22.93861111111111,50.00333333333333
low,04,0404,293,GDYN,153180080,CHEŁMNO,18.415,53.363055555555555
low,22,2202,292,GDYN,153179996,CHOCIŃSKI MŁYN,17.448333333333334,53.831388888888895
low,02,0209,138,WROC,151150180,CHOJNÓW,15.945555555555556,51.272777777777776
low,22,2202,292,GDYN,153170050,CIECHOLEWY,17.410833333333333,53.81444444444444
low,24,2403,114,WROC,149180060,CIESZYN,18.629722222222224,49.74583333333334
low,24,2417,2132,KRAK,149190080,CIĘCINA,19.148888888888887,49.624722222222225
low,12,1216,2149,KRAK,149200330,CIĘŻKOWICE,20.973611111111108,49.79222222222222
